Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Quantity,Sales
Technology,Philadelphia,United States,PAuL Knutson,Cisco,abc,CA-2013-158099,19143,Cisco SPA301,East,Home Office,xyz,First Class,Pennsylvania,Phones,40%,1,-47,3,0
Furniture,Aurora,United States,jULIE KRIZ,Tenex,9/4/2015,US-2013-100566,60505,"Tenex ""The Solids"" Textured Chair Mats",Central,Home Office,9/6/2015,Standard Class,Illinois,Furnishings,60%,1,-90,3,84
Office Supplies,Chicago,United States,CaRloS sOLtero,XtraLife,9/4/2015,CA-2013-159737,60610,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Central,Consumer,9/6/2015,Standard Class,Illinois,Binders,80%,1,-15,3,9
Office Supplies,Middletown,United States,,Adams,9/4/2015,CA-2013-132143,6457,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",East,Corporate,9/10/2015,First Class,Connecticut,Paper,0%,1,22,7,48
Office Supplies,Waukesha,United States,JeNNIfeR jAckSoN,Other,9/4/2015,CA-2013-163986,53186,Crate-A-Files,Central,Consumer,9/10/2015,Standard Class,Wisconsin,Storage,0%,1,14,5,55
Office Supplies,Monroe,United States,cRAIg yEDWAb,Other,9/4/2015,US-2013-101616,71203,Heavy-Duty E-Z-D Binders,South,Corporate,9/6/2015,First Class,Louisiana,Binders,0%,1,41,8,87
Furniture,Baltimore,United States,,Sauder,9/4/2015,US-2013-147711,21215,"Sauder Camden County Collection Libraries, Planked Cherry Finish",East,Consumer,9/11/2015,Second Class,Maryland,Bookcases,0%,1,31,3,345
Furniture,Baltimore,United States,HerBerT FleNTyE,Eldon,9/4/2015,US-2013-147711,21215,"Eldon Expressions Wood Desk Accessories, Oak",East,Consumer,9/7/2015,Second Class,Maryland,Furnishings,0%,1,4,2,15
Office Supplies,Baltimore,United States,,Acco,9/4/2015,US-2013-147711,21215,Acco Expandable Hanging Binders,East,Consumer,9/9/2015,Second Class,Maryland,Binders,0%,1,6,2,13
Office Supplies,Baltimore,United States,,Avery,9/4/2015,US-2013-147711,21215,Avery 486,East,Consumer,9/9/2015,Second Class,Maryland,Labels,0%,1,27,8,58
Furniture,Chicago,United States,Rob BEEGHlY,SAFCO,abc,US-2013-104815,60610,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Central,Consumer,xyz,Standard Class,Illinois,Bookcases,30%,1,0,4,0
Office Supplies,Cincinnati,United States,,Wirebound,9/4/2015,CA-2013-153185,45231,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",East,Corporate,9/9/2015,Standard Class,Ohio,Paper,20%,1,11,6,31
Office Supplies,Houston,United States,iVaN listOn,Other,9/4/2015,CA-2013-169971,77041,Faber Castell Col-Erase Pencils,Central,Consumer,9/8/2015,Standard Class,Texas,Art,20%,1,1,1,4
Office Supplies,Houston,United States,IvAN lisTon!,Boston,9/5/2015,CA-2013-169971,77041,"BOSTON Ranger #55 Pencil Sharpener, Black",Central,Consumer,9/9/2015,Standard Class,Texas,Art,20%,1,7,3,62
Furniture,New York City,United States,chrisTIna VaNDeRzAnDEN,Howard Miller,9/5/2015,CA-2013-123120,10011,"Howard Miller 16"" Diameter Gallery Wall Clock",East,Consumer,9/10/2015,Standard Class,New York,Furnishings,0%,1,25,1,64
Office Supplies,New York City,United States,CHrisTinA vAnderZanDen!,Other,9/5/2015,CA-2013-123120,10011,Plastic Binding Combs,East,Consumer,9/10/2015,Standard Class,New York,Binders,20%,1,20,5,61
Office Supplies,New York City,United States,chrISTiNA VandeRzANdEn,Acme,9/5/2015,CA-2013-123120,10011,Acme Preferred Stainless Steel Scissors,East,Consumer,9/9/2015,Standard Class,New York,Supplies,0%,1,7,4,23
Office Supplies,Knoxville,United States,DElFInA LaTchFOrD,Other,9/5/2015,CA-2013-149783,37918,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",South,Consumer,9/9/2015,Second Class,Tennessee,Paper,20%,1,4,3,12
Office Supplies,Knoxville,United States,DElFInA LatChforD51,Belkin,9/5/2015,CA-2013-149783,37918,Belkin 5 Outlet SurgeMaster Power Centers,South,Consumer,12/31/2023,Second Class,Tennessee,Appliances,20%,1,inf,2,
Office Supplies,Knoxville,United States,DElFiNA LAtchfoRd,Other,9/5/2015,CA-2013-149783,37918,Prismacolor Color Pencil Set,South,Consumer,9/8/2015,Second Class,Tennessee,Art,20%,1,8,2,32
Furniture,Georgetown,United States,AnNa andrEAdI72,Other,9/5/2015,CA-2013-131205,40324,Coloredge Poster Frame,South,Consumer,9/8/2015,Standard Class,Kentucky,Furnishings,0%,1,17,3,43
Office Supplies,Georgetown,United States,aNNa AndReadi,Poly,9/5/2015,CA-2013-131205,40324,Poly Designer Cover & Back,South,Consumer,9/8/2015,Standard Class,Kentucky,Binders,0%,1,55,6,114
Office Supplies,Georgetown,United States,anNa anDreAdI,Fellowes,9/5/2015,CA-2013-131205,40324,Fellowes Neat Ideas Storage Cubes,South,Consumer,9/9/2015,Standard Class,Kentucky,Storage,0%,1,5,4,130
Office Supplies,Georgetown,United States,anNA aNDReaDI50,Other,9/5/2015,CA-2013-131205,40324,Nontoxic Chalk,South,Consumer,9/9/2015,Standard Class,Kentucky,Art,0%,1,3,3,5
Office Supplies,Woodbury,United States,RoY PhAN!,Other,9/5/2015,CA-2013-168774,55125,"Hot File 7-Pocket, Floor Stand",Central,Corporate,9/9/2015,Standard Class,Minnesota,Storage,0%,1,161,3,535
Office Supplies,Springfield,United States,MICK BrowN,Staple envelope,9/5/2015,CA-2013-142524,65807,Staple envelope,Central,Consumer,12/31/2023,Standard Class,Missouri,Envelopes,0%,1,-8,2,
Technology,Springfield,United States,mick BrowN!,Sony,9/5/2015,CA-2013-142524,65807,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Central,Consumer,12/31/2023,Standard Class,Missouri,Accessories,0%,1,8.40E+16,5,0
Office Supplies,Jonesboro,United States,JerEmy pISteK72,Xerox,,CA-2013-117604,72401,Xerox 1886,South,Consumer,,Standard Class,Arkansas,Paper,0%,1,8.40E+130,5,
Furniture,San Francisco,United States,iONIa MCGrath86,Other,9/5/2015,CA-2013-129630,94122,"6"" Cubicle Wall Clock, Black",West,Consumer,9/9/2015,Same Day,California,Furnishings,0%,1,9,3,24
Technology,San Francisco,United States,ionIA mcgrATH,Canon,9/5/2015,CA-2013-129630,94122,Canon PC1060 Personal Laser Copier,West,Consumer,9/10/2015,Same Day,California,Copiers,20%,1,945,5,2800
Furniture,Philadelphia,United States,JonAthAn DOhErTY94,Howard Miller,9/5/2015,CA-2013-110366,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Corporate,9/5/2015,Second Class,Pennsylvania,Furnishings,20%,1,10,2,83
Furniture,Detroit,United States,PETe kRiz,Other,9/6/2015,CA-2013-115756,48227,Aluminum Document Frame,Central,Consumer,9/5/2015,Second Class,Michigan,Furnishings,0%,1,4,1,12
Office Supplies,Detroit,United States,pete kRIz,Fellowes,9/6/2015,CA-2013-115756,48227,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Central,Consumer,9/8/2015,Second Class,Michigan,Storage,0%,1,23,3,195
Office Supplies,Detroit,United States,PetE kRiz,Eldon,9/6/2015,CA-2013-115756,48227,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Central,Consumer,9/8/2015,Second Class,Michigan,Storage,0%,1,21,3,71
Office Supplies,Detroit,United States,peTE KRIZ!,Xerox,abc,CA-2013-115756,48227,"Xerox Color Copier Paper, 11"" x 17"", Ream",Central,Consumer,xyz,Second Class,Michigan,Paper,0%,1,8.40E+302,4,0
Furniture,Detroit,United States,petE krIz!,Office Star,9/6/2015,CA-2013-115756,48227,Office Star - Ergonomically Designed Knee Chair,Central,Consumer,9/8/2015,Second Class,Michigan,Chairs,0%,1,29,3,243
Office Supplies,Detroit,United States,pETE KRIZ,Avery,9/6/2015,CA-2013-115756,48227,Avery 520,Central,Consumer,9/8/2015,Second Class,Michigan,Labels,0%,1,11,7,22
Technology,Cedar Rapids,United States,,Other,9/6/2015,CA-2013-160815,52402,Geemarc AmpliPOWER60,Central,Consumer,9/8/2015,First Class,Iowa,Phones,0%,1,81,3,278
Office Supplies,Olathe,United States,braD EAsON!,Panasonic,,CA-2013-140774,66062,Panasonic KP-380BK Classic Electric Pencil Sharpener,Central,Home Office,,Standard Class,Kansas,Art,0%,1,,3,
Furniture,Austin,United States,AnThoNY RawLes!,Other,9/6/2015,US-2013-148110,78745,"Situations Contoured Folding Chairs, 4/Set",Central,Corporate,12/31/2023,Standard Class,Texas,Chairs,30%,1,0,7,2.26E+168
Technology,San Diego,United States,MARINa lIchTENsteIN,HP,9/6/2015,CA-2013-137673,92105,HP Standard 104 key PS/2 Keyboard,West,Corporate,9/11/2015,Standard Class,California,Accessories,0%,1,29,8,116
Office Supplies,Philadelphia,United States,,C-Line,9/6/2015,CA-2013-154536,19120,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",East,Consumer,9/12/2015,Standard Class,Pennsylvania,Binders,70%,1,-7,5,10
Office Supplies,Johnson City,United States,dArRIn MaRTiN63,Staple envelope,abc,CA-2013-136231,37604,Staple envelope,South,Consumer,xyz,Second Class,Tennessee,Envelopes,20%,1,0,3,0
Office Supplies,Johnson City,United States,dARRin maRtIn78,Wilson Jones,9/6/2015,CA-2013-136231,37604,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",South,Consumer,9/10/2015,Second Class,Tennessee,Binders,70%,1,-63,7,86
Technology,Johnson City,United States,dARriN mArTIn,Nortel,9/6/2015,CA-2013-136231,37604,Nortel Networks T7316 E Nt8 B27,South,Consumer,12/31/2023,Second Class,Tennessee,Phones,20%,1,8.40E+133,2,2.26E+129
Office Supplies,Johnson City,United States,daRRIn mARtin,Xerox 1971,9/6/2015,CA-2013-136231,37604,Xerox 1971,South,Consumer,9/8/2015,Second Class,Tennessee,Paper,20%,1,3,3,10
Office Supplies,Houston,United States,Gary HaNSen,Eureka,9/6/2015,CA-2013-144540,77070,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Central,Home Office,9/8/2015,Standard Class,Texas,Appliances,80%,1,-166,3,63
Office Supplies,Houston,United States,gARY HaNSEN4,Advantus,9/6/2015,CA-2013-144540,77070,Advantus Map Pennant Flags and Round Head Tacks,Central,Home Office,9/8/2015,Standard Class,Texas,Fasteners,20%,1,4,9,28
Office Supplies,Redondo Beach,United States,josEPH holT,Other,9/6/2015,CA-2013-151372,90278,14-7/8 x 11 Blue Bar Computer Printout Paper,West,Consumer,9/11/2015,First Class,California,Paper,0%,1,46,2,96
Office Supplies,Redondo Beach,United States,JoSEpH HoLT,Angle-D,9/6/2015,CA-2013-151372,90278,"Angle-D Binders with Locking Rings, Label Holders",West,Consumer,12/31/2023,First Class,California,Binders,20%,1,0,2,0
Office Supplies,Redondo Beach,United States,josePH hoLt!,Advantus,9/6/2015,CA-2013-151372,90278,Advantus Push Pins,West,Consumer,9/7/2015,First Class,California,Fasteners,0%,1,2,2,4
Office Supplies,Houston,United States,don mILLER!,Xerox,9/6/2015,CA-2013-149195,77070,Xerox 202,Central,Corporate,9/7/2015,Second Class,Texas,Paper,20%,1,9,5,26
Office Supplies,Houston,United States,DOn miLlEr58!,Other,9/6/2015,CA-2013-149195,77070,Staples,Central,Corporate,9/7/2015,Second Class,Texas,Fasteners,20%,1,5,8,16
Office Supplies,Houston,United States,doN milleR93,Xerox,9/6/2015,CA-2013-149195,77070,Xerox 1930,Central,Corporate,9/8/2015,Second Class,Texas,Paper,20%,1,4,2,10
Office Supplies,New York City,United States,mArK VaN HUFf,Xerox,abc,CA-2013-133319,10011,Xerox 1885,East,Consumer,xyz,Standard Class,New York,Paper,0%,1,8.40E+206,4,0
Office Supplies,San Antonio,United States,peTE tAkAhITo,Eldon,9/6/2015,US-2013-152373,78207,"Eldon Base for stackable storage shelf, platinum",Central,Consumer,9/8/2015,Standard Class,Texas,Storage,20%,1,-18,3,93
Office Supplies,Chesapeake,United States,MichaeL moorE!,Avery,abc,US-2013-121013,23320,Avery 50,South,Consumer,xyz,Standard Class,Virginia,Labels,0%,1,8.40E+217,2,2.26E+234
Furniture,Chesapeake,United States,Michael moOre,Chromcraft,abc,US-2013-121013,23320,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",South,Consumer,xyz,Standard Class,Virginia,Tables,0%,1,0,3,
Office Supplies,Chicago,United States,stePhANiE ULpRiGhT,Xerox,9/6/2015,CA-2013-164490,60653,Xerox 196,Central,Home Office,9/11/2015,Second Class,Illinois,Paper,20%,1,3,2,9
Office Supplies,Lancaster,United States,MARIbETH DOnA,Other,9/6/2015,CA-2013-162383,43130,Recycled Easel Ring Binders,East,Consumer,9/11/2015,Standard Class,Ohio,Binders,70%,1,-7,2,9
Office Supplies,Lancaster,United States,mARiBeth dONA43,Pressboard,9/6/2015,CA-2013-162383,43130,Pressboard Hanging Data Binders for Unburst Sheets,East,Consumer,9/11/2015,Standard Class,Ohio,Binders,70%,1,-6,6,9
Furniture,Lancaster,United States,marIbETH DonA75,Global,9/6/2015,CA-2013-162383,43130,"Global Push Button Manager's Chair, Indigo",East,Consumer,9/12/2015,Standard Class,Ohio,Chairs,30%,1,-1,2,85
Furniture,Houston,United States,ElizAbeth MofFiTt23,Executive Impressions,,CA-2013-136595,77036,"Executive Impressions 12"" Wall Clock",Central,Corporate,,First Class,Texas,Furnishings,60%,1,8.40E+295,3,2.26E+291
Furniture,Philadelphia,United States,DeAN BrAdEN,Other,9/6/2015,CA-2013-158778,19134,"6"" Cubicle Wall Clock, Black",East,Consumer,9/12/2015,Standard Class,Pennsylvania,Furnishings,20%,1,12,9,58
Furniture,Philadelphia,United States,DEan BRaDen,Global,9/6/2015,CA-2013-158778,19134,"Global Task Chair, Black",East,Consumer,9/8/2015,Standard Class,Pennsylvania,Chairs,30%,1,-19,2,71
Office Supplies,Philadelphia,United States,deaN braDEn,Newell,9/6/2015,CA-2013-158778,19134,Newell 329,East,Consumer,9/10/2015,Standard Class,Pennsylvania,Art,20%,1,1,3,8
Furniture,Philadelphia,United States,,Global,9/6/2015,CA-2013-158778,19134,Global Comet Stacking Arm Chair,East,Consumer,9/10/2015,Standard Class,Pennsylvania,Chairs,30%,1,-63,3,887
Technology,New York City,United States,freD WasSerman,Other,9/6/2015,CA-2013-139409,10011,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Corporate,9/10/2015,First Class,New York,Phones,0%,1,12,4,44
Office Supplies,Saint Paul,United States,ElpIdA ritTEnBaCH47,Fellowes,9/6/2015,CA-2013-149223,55106,Fellowes Basic Home/Office Series Surge Protectors,Central,Corporate,9/10/2015,Standard Class,Minnesota,Appliances,0%,1,23,6,78
Technology,New York City,United States,mAry O'ROURKe,Maxell,9/7/2015,CA-2013-102981,10035,Maxell 4.7GB DVD+RW 3/Pack,East,Consumer,9/8/2015,Second Class,New York,Accessories,0%,1,11,2,32
Furniture,New York City,United States,maRy o'RouRkE95,Atlantic,9/7/2015,CA-2013-102981,10035,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",East,Consumer,9/12/2015,Second Class,New York,Bookcases,20%,1,90,3,722
Office Supplies,Thomasville,United States,kARL BraUn!,Other,abc,CA-2013-133123,27360,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",South,Consumer,xyz,Standard Class,North Carolina,Envelopes,20%,1,-30,3,
Office Supplies,Thomasville,United States,KaRL BRAUn23,Pressboard,9/7/2015,CA-2013-133123,27360,Pressboard Data Binders by Wilson Jones,South,Consumer,9/10/2015,Standard Class,North Carolina,Binders,70%,1,-2,2,3
Office Supplies,Houston,United States,BRuCE GeLD,Tenex,9/7/2015,CA-2013-145240,77070,"Tenex Personal Project File with Scoop Front Design, Black",Central,Consumer,9/12/2015,First Class,Texas,Storage,20%,1,1,1,11
Office Supplies,Dallas,United States,yoSeph CARroLl,Advantus,9/7/2015,CA-2013-123932,75217,Advantus Motivational Note Cards,Central,Corporate,9/12/2015,Standard Class,Texas,Paper,20%,1,15,4,42
Technology,Dallas,United States,,AT&T,9/7/2015,CA-2013-123932,75217,AT&T CL83451 4-Handset Telephone,Central,Corporate,9/9/2015,Standard Class,Texas,Phones,20%,1,37,2,330
Office Supplies,Houston,United States,aNnA GAyMAN!,Other,9/7/2015,CA-2013-108987,77036,Super Decoflex Portable Personal File,Central,Consumer,9/13/2015,Second Class,Texas,Storage,20%,1,4,3,36
Furniture,Houston,United States,aNNA gaYman20,Riverside,9/9/2015,CA-2013-108987,77036,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Central,Consumer,9/13/2015,Second Class,Texas,Bookcases,32%,1,-317,4,2396
Office Supplies,Houston,United States,Anna GAYmaN29,Other,9/9/2015,CA-2013-108987,77036,"Contico 72""H Heavy-Duty Storage System",Central,Consumer,9/11/2015,Second Class,Texas,Storage,20%,1,-33,4,131
Technology,Houston,United States,,Sony,9/9/2015,CA-2013-108987,77036,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Central,Consumer,9/11/2015,Second Class,Texas,Accessories,20%,1,1,2,58
Office Supplies,Lancaster,United States,VALerie mITcHum,Other,9/9/2015,CA-2013-113516,93534,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",West,Home Office,9/11/2015,Second Class,California,Binders,20%,1,12,2,33
Office Supplies,Lancaster,United States,VaLeRIe MitChUM60!,Other,abc,CA-2013-113516,93534,Premium Transparent Presentation Covers by GBC,West,Home Office,xyz,Second Class,California,Binders,20%,1,-23,4,0
Furniture,Malden,United States,anne PRyor8,Bush,9/9/2015,US-2013-114174,2148,"Bush Westfield Collection Bookcases, Dark Cherry Finish",East,Home Office,9/11/2015,Standard Class,Massachusetts,Bookcases,0%,1,14,3,174
Office Supplies,Malden,United States,anNE prYor,Avery,9/9/2015,US-2013-114174,2148,Avery 52,East,Home Office,9/11/2015,Standard Class,Massachusetts,Labels,0%,1,7,4,15
Furniture,Wheeling,United States,SANjIt ENGlE,Executive Impressions,9/9/2015,US-2013-115455,60090,"Executive Impressions 12"" Wall Clock",Central,Consumer,9/15/2015,Standard Class,Illinois,Furnishings,60%,1,-8,2,14
Furniture,Wheeling,United States,SaNJIT EnGLE,Bretford,,US-2013-115455,60090,Bretford CR8500 Series Meeting Room Furniture,Central,Consumer,,Standard Class,Illinois,Tables,50%,1,0,3,
Office Supplies,New York City,United States,MICHAeL GrACe88,Kensington,9/9/2015,CA-2013-131499,10011,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,East,Home Office,9/15/2015,First Class,New York,Appliances,0%,1,62,1,207
Office Supplies,Dallas,United States,kEN BLacK,Boston,9/9/2015,CA-2013-108868,75081,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Central,Corporate,9/15/2015,Standard Class,Texas,Art,20%,1,6,2,70
Technology,Dallas,United States,Ken BLAcK,Belkin,9/9/2015,CA-2013-108868,75081,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",Central,Corporate,9/11/2015,Standard Class,Texas,Phones,20%,1,22,5,60
Technology,Monroe,United States,Jill MaTtHiAS!,Memorex,9/9/2015,CA-2013-155138,28110,Memorex Froggy Flash Drive 4 GB,South,Consumer,12/31/2023,Standard Class,North Carolina,Accessories,20%,1,inf,4,
Office Supplies,Monroe,United States,jILL MattHIAs53,Other,9/9/2015,CA-2013-155138,28110,Petty Cash Envelope,South,Consumer,9/13/2015,Standard Class,North Carolina,Paper,20%,1,23,3,65
Furniture,Santa Ana,United States,PAuliNe JOhnSOn,Lesro,abc,CA-2013-153101,92704,"Lesro Round Back Collection Coffee Table, End Table",West,Consumer,xyz,Same Day,California,Tables,20%,1,,1,
Furniture,Seattle,United States,TobY riTTeR92!,Howard Miller,9/9/2015,CA-2013-110009,98103,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",West,Consumer,9/13/2015,Standard Class,Washington,Furnishings,0%,1,15,1,43
Office Supplies,Seattle,United States,TOBy rITter,Ampad,9/9/2015,CA-2013-110009,98103,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",West,Consumer,9/9/2015,Standard Class,Washington,Paper,0%,1,14,7,31
Office Supplies,Visalia,United States,LIz pReIs,Other,9/9/2015,CA-2013-103709,93277,"Eberhard Faber 3 1/2"" Golf Pencils",West,Consumer,9/14/2015,Standard Class,California,Art,0%,1,4,2,15
Office Supplies,Visalia,United States,liZ Preis,Xerox,9/9/2015,CA-2013-103709,93277,Xerox 1900,West,Consumer,12/31/2023,Standard Class,California,Paper,0%,1,0,8,inf
Office Supplies,Visalia,United States,LIZ preIs,Other,9/9/2015,CA-2013-103709,93277,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",West,Consumer,9/16/2015,Standard Class,California,Storage,0%,1,65,2,262
Office Supplies,New York City,United States,,Cardinal,9/9/2015,CA-2013-110023,10024,Cardinal EasyOpen D-Ring Binders,East,Consumer,9/16/2015,First Class,New York,Binders,20%,1,5,2,15
Office Supplies,Stockton,United States,aNniE THURMAn,Other,9/10/2015,CA-2013-112893,95207,VariCap6 Expandable Binder,West,Consumer,9/16/2015,Second Class,California,Binders,20%,1,19,4,55
Furniture,Dallas,United States,,Eldon,9/10/2015,CA-2013-137176,75220,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Central,Home Office,9/12/2015,Second Class,Texas,Furnishings,60%,1,-12,4,15
Office Supplies,New York City,United States,paRheNa nORRIS,Acco,abc,US-2013-118780,10011,Acco Perma 2700 Stacking Storage Drawers,East,Home Office,xyz,Second Class,New York,Storage,0%,1,0,2,2.26E+228
Office Supplies,New York City,United States,pARHeNa noRriS,Wirebound,9/11/2015,US-2013-118780,10011,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",East,Home Office,9/15/2015,Second Class,New York,Paper,0%,1,3,1,7
Office Supplies,Bristol,United States,CAthERiNe glotZBacH,Boston,9/11/2015,CA-2013-164350,37620,"Boston Model 1800 Electric Pencil Sharpener, Gray",South,Home Office,12/31/2023,Second Class,Tennessee,Art,20%,1,,3,2.26E+102
Furniture,Houston,United States,,KI,9/11/2015,CA-2013-146206,77095,KI Adjustable-Height Table,Central,Consumer,9/15/2015,Second Class,Texas,Tables,30%,1,-34,5,301
Technology,Houston,United States,KeAn THornton91,Polycom,9/11/2015,CA-2013-146206,77095,Polycom VVX 310 VoIP phone,Central,Consumer,9/13/2015,Second Class,Texas,Phones,20%,1,54,5,720
Technology,Fort Lauderdale,United States,STeVe chApMAN62,Other,abc,CA-2013-112277,33311,Geemarc AmpliPOWER60,South,Corporate,xyz,Standard Class,Florida,Phones,20%,1,8.40E+132,7,0
Office Supplies,Edmonds,United States,bRYAN Davis!,Avery,9/11/2015,CA-2013-165918,98026,Avery 487,West,Consumer,9/15/2015,Standard Class,Washington,Labels,0%,1,3,2,7
Office Supplies,Edmonds,United States,brYAn DaVis72,Storex,9/11/2015,CA-2013-165918,98026,Storex Dura Pro Binders,West,Consumer,9/16/2015,Standard Class,Washington,Binders,20%,1,4,3,14
Office Supplies,Edmonds,United States,BrYAN davIs!,Xerox,abc,CA-2013-165918,98026,Xerox 1945,West,Consumer,xyz,Standard Class,Washington,Paper,0%,1,,2,0
Office Supplies,Edmonds,United States,BrYAn DaviS50,Other,9/11/2015,CA-2013-165918,98026,JM Magazine Binder,West,Consumer,9/15/2015,Standard Class,Washington,Binders,20%,1,14,3,40
Office Supplies,Los Angeles,United States,diANNA vittORINI,Ibico,9/11/2015,CA-2013-126102,90049,Ibico EB-19 Dual Function Manual Binding System,West,Consumer,9/15/2015,Second Class,California,Binders,20%,1,90,2,277
Office Supplies,San Diego,United States,kElly cOllisTeR!,Wirebound,9/11/2015,CA-2013-145625,92037,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",West,Consumer,9/15/2015,Standard Class,California,Paper,0%,1,4,1,8
Technology,San Diego,United States,KElLy COllIStEr3,Logitech,9/12/2015,CA-2013-145625,92037,Logitech P710e Mobile Speakerphone,West,Consumer,9/13/2015,Standard Class,California,Accessories,0%,1,636,13,3347
Office Supplies,Philadelphia,United States,GIULIEttA doRtcH96,Xerox,9/12/2015,CA-2013-121223,19143,Xerox 1972,East,Corporate,9/18/2015,Second Class,Pennsylvania,Paper,20%,1,3,2,8
Technology,Philadelphia,United States,giUlietta DortCH,Cisco,9/12/2015,CA-2013-121223,19143,Cisco 8x8 Inc. 6753i IP Business Phone System,East,Corporate,9/18/2015,Second Class,Pennsylvania,Phones,40%,1,-158,9,729
Office Supplies,Toledo,United States,nick zandUSky87!,GBC,9/12/2015,CA-2013-164154,43615,GBC Standard Therm-A-Bind Covers,East,Home Office,9/14/2015,Standard Class,Ohio,Binders,70%,1,-18,3,22
Office Supplies,Toledo,United States,nIck zaNduskY,Staple magnet,9/12/2015,CA-2013-164154,43615,Staple magnet,East,Home Office,9/14/2015,Standard Class,Ohio,Storage,20%,1,4,5,38
Technology,Newport News,United States,JIlL FJeLd,Canon,9/12/2015,CA-2013-102162,23602,Canon PC-428 Personal Copier,South,Consumer,9/18/2015,Standard Class,Virginia,Copiers,0%,1,752,8,1600
Office Supplies,Newport News,United States,jIll FJELd59,Other,9/12/2015,CA-2013-102162,23602,#10 Self-Seal White Envelopes,South,Consumer,9/18/2015,Standard Class,Virginia,Envelopes,0%,1,5,1,11
Office Supplies,San Jose,United States,EUgeNe BaRChAs,Other,9/12/2015,CA-2013-116561,95123,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",West,Consumer,9/17/2015,Standard Class,California,Storage,0%,1,7,3,333
Office Supplies,San Jose,United States,EuGEnE baRChAs60,GBC,9/12/2015,CA-2013-116561,95123,GBC Standard Therm-A-Bind Covers,West,Consumer,9/17/2015,Standard Class,California,Binders,20%,1,13,2,40
Technology,Wichita,United States,tRUdy BRowN97,Plantronics,9/12/2015,CA-2013-153157,67212,Plantronics Encore H101 Dual Earpieces Headset,Central,Consumer,12/31/2023,First Class,Kansas,Phones,0%,1,0,5,0
Office Supplies,Chicago,United States,Adam SHilliNGSBurg,Smead,9/12/2015,CA-2013-150007,60653,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Central,Consumer,9/18/2015,Standard Class,Illinois,Labels,20%,1,2,2,6
Office Supplies,Chicago,United States,AdAM shIllInGSBurG,Other,abc,CA-2013-150007,60653,Insertable Tab Indexes For Data Binders,Central,Consumer,xyz,Standard Class,Illinois,Binders,80%,1,,3,
Office Supplies,Phoenix,United States,LiNdA CaZamIAs66,Crayola,9/12/2015,CA-2013-143476,85023,"Crayola Anti Dust Chalk, 12/Pack",West,Corporate,9/17/2015,First Class,Arizona,Art,20%,1,1,2,3
Office Supplies,Phoenix,United States,LiNDa caZaMIAs,Xerox,9/12/2015,CA-2013-143476,85023,Xerox 1976,West,Corporate,12/31/2023,First Class,Arizona,Paper,20%,1,,4,0
Office Supplies,Phoenix,United States,lInDa cazAmIAs,Other,9/12/2015,CA-2013-143476,85023,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),West,Corporate,9/14/2015,First Class,Arizona,Paper,20%,1,3,2,10
Office Supplies,Houston,United States,RYaN CrOWe90!,Other,9/12/2015,CA-2013-130225,77041,Cameo Buff Policy Envelopes,Central,Consumer,9/14/2015,Standard Class,Texas,Envelopes,20%,1,34,2,100
